Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
StopTime;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A1;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;19;19;;;#Coal;;;;;;;;;;;;;;x
AddArrowsPos;;;;81;19;;;#Steel;;;;;;;;;;;;;;x
AddArrowsPos;;;;133;19;;;#Rubber;;;;;;;;;;;;;;x
AddArrowsPos;;;;183;19;;;#Oil;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A2;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;506;19;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;732;39;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_3_A3;;;;#;;;;;;;;;;;;;;x
IsIW;;14;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A4;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;625;96;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A5;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;625;150;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A6;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;625;195;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A7;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;625;250;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A8;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;675;325;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A9;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;685;463;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_3_A10;;;;#;;;;;;;;;;;;;;x
IsIW;;12;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;675;130;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A11;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
CenterMap;;1042;;;;;;;;;;;;;;;;;;;;x
AddArrowsPid;;;;1042;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A12;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
CenterMap;;497;;;;;;;;;;;;;;;;;;;;x
AddArrowsPid;;;;502;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A13;;;;#;;;;;;;;;;;;;;x
