Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
ShowMessage;;;;TUTORIAL_5_A1;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;638;49;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A2;;;;#;;;;;;;;;;;;;;x
IsIW;;17;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;690;437;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A3;;;;#;;;;;;;;;;;;;;x
IsIW;;18;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_5_A4;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A5;;;;#;;;;;;;;;;;;;;x
IsIW;;17;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_5_A6;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;690;465;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A7;;;;#;;;;;;;;;;;;;;x
IsIW;;20;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A8;;;;#;;;;;;;;;;;;;;x
IsIW;;17;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;690;477;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A9;;;;#;;;;;;;;;;;;;;x
IsIW;;19;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A10;;;;#;;;;;;;;;;;;;;x
IsIW;;17;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
CenterMap;;598;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;607;;;;#;;;;;;;;;;;;;;x
FinishBuild;;;;;;;;;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A11;;;;#;;;;;;;;;;;;;;x
ArmyIn;;607;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
CenterMap;;598;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;598;;;;#;;;;;;;;;;;;;;x
FinishBuild;;;;;;;;;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A12;;;;#;;;;;;;;;;;;;;x
FleetIn;;598;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
LockScroll;;;;;;;;#TEST;;;;;;;;;;;;;;x
CenterMap;;598;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;607;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A13;;;;#;;;;;;;;;;;;;;x
ArmySelected;;1;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
AddArrowsPid;;;;599;;;;#;;;;;;;;;;;;;;x
ArmyIn;;599;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
CenterMap;;557;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;559;;;;#;;;;;;;;;;;;;;x
